song,artist
Let It Swing/La det swinge,Hanne Krogh
J'aime la vie,Sandra Kim
Hold Me Now,Johnny Logan
Ne partez pas sans moi,Celine Dion
Rock Me,Riva
Insieme: 1992,Toto Cutugno
Fångad av en stormvind,Carola Häggkvist
Why Me?,Linda Martin
In Your Eyes,Niamh Kavanagh
Rock 'n' Roll Kids,Paul Harrington
Nocturne,Fionnuala Sherry
The Voice,Eimear Quinn
Love Shine a Light,Katrina Leskanich
Diva,Dana International
Take Me to Your Heaven,Charlotte Nilsson
Fly on the Wings of Love,Olsen Brothers
Everybody,Tanel Padar
I Wanna,Marie N
Everyway That I Can,Sertab Erener
Wild Dances,Ruslana
My Number One,Helena Paparizou
Hard Rock Hallelujah,Lordi
Molitva,Marija Šerifović
Believe,Dima Bilan
Fairytale,Alexander Rybak
Satellite,Lena Meyer-Landrut
Running Scared,Eldar & Nigar
Euphoria,Loreen
Only Teardrops,Emmelie de Forest
Rise Like a Phoenix,Conchita Wurst
Heroes,Måns Zelmerlöw
1944,Jamala
Amar pelos dois,Salvador Sobral
Toy,Netta
Arcade,Duncan Laurence
Zitti e buoni,Måneskin
Stefania,Kalush Orchestra
Tattoo,Loreen
